Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Female,20,Bachelor 1st year,BRAC UNIVERSITY,BRAC,Private University,HSC,Pharmacy,"Shurma Bhaban,Road 5,Block G, Mirpur 1",0,0,Student (Local)
Male,19,Bachelor ( 1st Year ),BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh,N/A,N/A,Student (Local)
Female,21,Bachelor 3rd year,Brac university,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,21 years,Bachelor 3rd year,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,N/A,N/A,Student (Local)
Female,23,Bachelor 3rd,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,0,2,Student (Local)
Female,21,Honor’s ,Brac university ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,1,0,Student (Local)
Female,22,Fourth Year Bachelor,BRAC ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,None,None ,Student (Local)
Female,20,Bachelor,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,19,Bachelor First year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Not yet,Not yet,Student (Local)
Female,20,FIRST YEAR,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh,Not yet,Not yet,Student (Local)
Male,21,Bachelor first year,BRAC UNIVERSITY ,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,22,Student ,BRAC UNIVERSITY ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,23,Third year,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,None,None,Student (Local)
Female,22,"4th Semester, 2nd year.",BRAC University.,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,23,B.pharm(4th year),BRAC University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,No,No,Student (Local)
Male,22,Forth year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,21,Forth year,BRAC UNIVERSITY ,BRAC,Private University,"HSC, Bachelor",Pharmacy,Bangladesh ,Zero,Zero,Student (Local)
Male,22,"Bachelor Of Pharmacy, 4th Year, 1st Semester ",Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,No,No,Student (Local)
Female,20,Bachelor ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,Bachelor Second Year,Bangladesh Rural Advancement Comittee University (Brac),BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,NA,NA,Student (Local)
Female,20,Bachelor (first year),Brac university ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,Bachelor (forth year),BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,23,Third Year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,"Pharmacy Department,1st year 2 nd semester ",Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,BRAC University ,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,First year 2nd semester ,BRAC UNIVERSITY,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,Second,BRAC University,BRAC,Private University,HSC,Pharmacy,None,None,None,Student (Local)
Female,23,Bachelor (4th year),BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,NA,NA,Student (Local)
Female,21,BPharm(2nd year),Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,19,Brac University ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,21,"Bachelor Of Pharmacy(2ndYear,2nd Semester)",Brac University ,BRAC,Private University,HSC,"Biotechnology/Genetic Engineering, Pharmacy",Bangladesh,None,None,Student (Local)
Male,23,Bachelor of Pharmacy  ( Third Year ),BRAC University ,BRAC,Private University,"HSC, Bachelor",Pharmacy,Bangladesh ,0,0,Student (Local)
Female,19,.,brac university,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,23,Bachelor of pharmacy (4th year),BRAC University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,23,Bachelors (Third year),IUB,Independent University Bangladesh,Private University,CAIE A levels,Microbiology,Bangladesh ,Nil,Nil,Student (Local)
Female,22,Forth year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,"1st year, 2nd semester ",Brac university ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,Bachelor ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Zero,Zero,Student (Local)
Female,22,Forth semester,Brac university,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,20,1st year 2nd semester student ,Bracu ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,Third,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,Bachelor 2nd year ,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,N/A,N/A,Student (Local)
Female,21,1st year 2nd semester ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,21,1st year student,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,23,bachelor 4th semister,BRAC university,BRAC,Private University,HSC,Pharmacy,"Bangladesh, Dhaka gulsha 1212",none,none,Student (Local)
Female,21,B.Pharm (2nd year),Brac University,BRAC,Private University,HSC,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy",Bangladesh,0,0,Student (Local)
Female,21,First year,Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,N/A,N/A,Student (Local)
Male,20,Bachelor(1st year) of Pharmacy  ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,bachelor,BRAC,BRAC,Private University,Bachelor,Pharmacy,bangladesh,0,0,Student (Local)
Female,22 years ,4th semester ,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,None,None,Student (Local)
Female,21,Bachelor (second year) ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,25,Master’s ,Biological science ,Biological science,Public University (General),Masters/MS,Microbiology,Bangladesh ,Don’t have any publication ,Don’t have any publication ,Student (Local)
Male,19,Student (Bachelor of pharmacy first year 2nd semester) ,BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,"Bachelor of pharmacy (1st year,2nd semester) ",BRAC University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,Not yet,Not yet,Student (Local)
Female,32,M.S. and MRes,University of Dhaka,Dhaka University,Public University (General),M.Phil.,Botany,United kingdom,5,1,Researcher (Local/abroad)
Male,20,Bachelor 1st year,Lokesh Biswas,Lokesh Biswas,Others,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,21,Bachelor of pharmacy  in 4th semester ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,24,Master student,Stamford University,Stamford University Bangladesh,Private University,BSC,"Microbiology, Zoology",Bangladesh,.,.,Student (Local)
Female,fariha.tuj.jannat@g.bracu.ac.bd,Bachelor of pharmacy (2nd semester),BRAC University,BRAC,Private University,"HSC, But currently study bechelor of pharmacy in BRAC University",Pharmacy,Bangladesh,0,0,Student (Local)
Female,20,"2nd semester, 1st year",Brac  University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,23,Hons. Final year,Bracu,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,None,None,Student (Local)
Female,20,Forth,Brac University,BRAC,Private University,HSC,Pharmacy,"146, malibagh bazar road",Not yet,Not yet,Student (Local)
Female,21,1st year 2nd semester ,BRAC University ,BRAC,Private University,M.Phil.,Pharmacy,Bangladesh ,Not yet ,Not yet ,Student (Local)
Male,25,Master's,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,21,3rd Year Undergraduate Student,BRAC University,BRAC,Private University,HSC,Pharmacy,"Dhaka , Bangladesh",0,None,Student (Local)
Female,26,Bachelor  of Science in Microbiology ,Stamford  University  of Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,No,No,Student (Local)
Female,25,Master's,Jahangirnagor University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,M.Sc,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,None,None,Student (Local)
Male,26,Masters ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,0,0,Student (Local)
Male,26,Master's,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,None ,None,Student (Local)
Male,31,Assistant Professor,Jagannath University,Jagannath University,Public University (General),Masters/MS,Microbiology,Bangladesh,3,2,Teacher (Local)
Male,22,Bsc (Hons) 2nd year,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,"Gopalganj, Bangladesh ",N/A,N/A,Student (Local)
Male,22,Bachelor (Third Year),BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,24,Bsc third year,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,22,2nd year Biotechnology and Genetic Engineering,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Female,22,Forth year's student,Brac University ,BRAC,Private University,HSC,Pharmacy,Dhaka,No,No,Student (Local)
Male,23,2nd year,BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh ,Nope ,Nope,Student (Local)
Female,22,Bachelor (passed),Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24+,Third,BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh ,N/A,N/A,Student (Local)
Male,22,Bachelor (third year),Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,23,Bachelor (forth),BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,24,Third year,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,Null,Null,Student (Local)
Male,22,Third,Bangabandhu Sheikh Mujibur Rahman Science And Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,No,No,Student (Local)
Female,24,Graduate ,Bangabandhu Sheikh Mujibur Rahman Science  and Technology University  ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,None ,None,Student (Local)
Male,23,Bachelor (Third Year),"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalgonj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24,Bachelor in Biotechnology ,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University,  Gopalganj 8100. ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,1,Student (Local)
Male,23,2nd year,Bangabandhu Sheikh Mujibur Rahman Science & Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,None,None,Student (Local)
Male,21,Bachelor (1st Year),Bangabandhu Sheikh Mujibur Rahman Science and Technology University. ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh. ,No,No,Student (Local)
Female,23,Third Year,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,I haven't publish any Peer review  paper,I haven't publish any Peer review  paper,Student (Local)
Male,23,Biotechnology and Genetic Engineering ,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Gopalgonj ,No,No,Student (Local)
Male,25,Master's ,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,21,Bachelor first year,Bangabandhu Sheikh Mujibur Rahman Science and Technology Universityy,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Female,28,Teacher,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,1,6,Teacher (Local)
Male,21,Bsc 1st year,Bangabandhu sheikh mujibur rahman science and technology university ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,24,Third,Bangabandhu Sheikh Mujibur Rahman science and technology university,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Gopalgonj ,0,0,Student (Local)
Male,25,Bsc. Honors,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,1999,Masters,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,22,Bachelor (2nd year),Bangabondh Sheikh Mujibur Rahaman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,No publication,No publication,Student (Local)
Male,22,Third year,"Bsmrstu,gopalgonj",BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,N/A,N/A,Student (Local)
Female,25,Master's ,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Male,23,Bachelor (Third Year),"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalganj.",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh,0,02,Student (Local)
Male,22,Bachelor,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,No,No,Student (Local)
Female,24,Master's,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,no,no,Student (Local)
Female,24,Master's,Bangabandhu Sheikh Mujibur Rahman Science &Technology Universitu Gopalgonj,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),"HSC, Bachelor",Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Female,25,Masters,Jahangirnagar university,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Male,23,3rd year,Bangabandhu Sheikh Mujibur Rahman science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,Null,Null,Student (Local)
Female,30,Bachelor,Mymensingh medical college ,Mymensingh medical college,Public University (General),MBBS,Microbiology,Canada ,None,Nine,Student (Local)
Female,22,Bachelor,BSMRSTU,BSMRSTU,Public University (Science and Tecj),HSC,Biotechnology/Genetic Engineering,Bangladesh,No,No,Student (Local)
Female,24,Masters ,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,No,No,Student (Local)
Male,50,"AGM, Quality Control",Incepta Pharmaceuticals Ltd.,Incepta Pharmaceuticals Limited,Phermaceuticals Company,M.Phil.,"Microbiology, Botany",Bangladesh ,One,None,Service (Local/abroad)
Male,23,Bachelor Third year,"Bangabandhu Sheikh Mujibur Rahman science and technology University, Gopalgonj ",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,00,01,Student (Local)
Male,30,Assistant Professor,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Gopalganj",Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,"Microbiology, Biotechnology/Genetic Engineering",Bangladesh ,2,4,Teacher (Local)
Male,55,Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),PhD,Botany,Bangladesh,Above 100,Around 60,Teacher (Local)
Female,25,Forth year,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Pharmacy,Bangladesh,Nill,Nill,Student (Local)
Male,26,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,None,None,Student (Local)
Female,25,Medical technologist,Delta Health Care Mirpur Limited,Delta Health Care Mirpur Limited,Diagnostic centre,"Masters/MS, Laboratory science",Microbiology,Bangladesh,sallujan,No,Service (Local/abroad)
Male,40,Masters ,Rajshahi University ,Rajshahi  University,Public University (General),M.Phil.,"Microbiology, Biotechnology/Genetic Engineering, Botany",Bangladesh ,3,11,Teacher (Local)
Male,35,Assistant Professor ,Jagannath university ,Jagannath University,Public University (General),PhD,Pharmacy,Bangladesh,10,10,Teacher (Local)
Female,24,"Masters, third trimeter ",North South University ,North South University,Private University,PhD,Microbiology,Dhaka ,0,3,Student (Local)
Female,27,Bachelor,Rajia sultana,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,None,None,Service (Local/abroad)
Male,23,Bachelor 3rd year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Pharmacy,Bangladesh ,Haven’t any publication till now,Haven’t any publication till now,Student (Local)
Male,23,Bachelor (Third Year),Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,None,None,Student (Local)
Female,21,Third ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,23,Master's ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,2,2,Student (Local)
Female,20,Honor's first year,Brac university,BRAC,Private University,HSC,Pharmacy,"Dhaka, Bangladesh",None,None,Student (Local)
Male,22,Master's ,Bangabangdhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,01956657742,01956657742,Student (Local)
Female,22,Microbiology 4th year,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,None,None,Student (Local)
Male,50+,Principal Scientific Officer,Bangladesh Jute Research Institute,Bangladesh Jute Research Institute,Research Organization,PhD,"Microbiology, Biotechnology/Genetic Engineering",Bangladesh,19,72,Researcher (Local/abroad)
Male,24,Master's,BSMRSTU,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,0,0,Student (Local)
Male,27,Senior Scientific Officer,DMFR Molecular Lab & Diagnostic Bangladesh ,DMFR Molecular Lab & Diagnostic Bangladesh,Diagnostic centre,Masters/MS,Microbiology,Bangladesh ,0,3,Service (Local/abroad)
Female,27,Msc,Stamford university Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Dhaka,None,1,Teacher (Local)
Female,32,Senior Assistant Manager ,Renata Limited ,Renata Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,1,3,Service (Local/abroad)
Male,34,Bachelor in Microbiology,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,None,None,Service (Local/abroad)
Female,24+,Master’s student ,North South University ,North South University,Private University,Bachelor,Biochemistry,Bangladesh ,Not any,Not any,Student (Local)
Female,28,Lecturer,Primeasia University,Primeasia University,Private University,Masters/MS,Microbiology,Bangladesh,0,5,Teacher (Local)
Male,23,Third year,Bangabandhu Sheikh Mujibur Rahman science and technology University. ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,No one,No one,Student (Local)
Male,24,Bachelor ( Forth Year ),North South University,North South University,Private University,Bachelor,Microbiology,Bangladesh,No,No,Student (Local)
Female,24,Bachelor  4rth year,North south  university ,North South University,Private University,Bachelor,Microbiology,Bangladesh,no,no,Student (Local)
Male,32,Lecturer,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,2,8,Teacher (Local)
Male,23,Second ,Bangabandhu Sheikh Mujibur Rahman Science and Technology University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),HSC,Biotechnology/Genetic Engineering,Bangladesh ,No,No,Student (Local)
Female,23,Forth year,North South University,North South University,Private University,Bachelor,Microbiology,Dhaka,0,0,Student (Local)
Male,38,Head of Department QA and R&D,Ramy Group,Ramy Group,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh,2,0,Service (Local/abroad)
Male,24,Masters,Mohammad Sami Salman Bhuiyan,Jahangirnagar University,Public University (General),Masters/MS,"Microbiology, Biotechnology/Genetic Engineering",Bangladesh,0,On review (1),Student (Local)
Male,23,4Th,BSMRSTU ,BSMRSTU,Public University (Science and Tecj),Bachelor,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Student (Local)
Female,25,Master's ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Master’s  Student ,Jashore University of Science and Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,No,0,Student (Local)
Male,34,Deputy Manager Microbiology ,Eskayef Pharmaceuticals Ltd,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,NA,NA,Service (Local/abroad)
Female,24,Master's ,Stamford university Bangladesh ,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh ,01,01,Student (Local)
Female,23,2nd year,North South University ,North South University,Private University,HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Male,38,Masters,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,02,1,Service (Local/abroad)
Male,22,Bachelor Third Year (7th semester),North South University,North South University,Private University,HSC,Microbiology,"Bangladesh, Dhaka",Zero,Zero,Student (Local)
Female,30,Fourth Year,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Female,32,Lecturer ,University of Dhaka ,Dhaka University,Public University (General),PhD,Microbiology,Bangladesh ,2,7,Teacher (Local)
Female,23,Bachelor ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,"Bangladesh, Dhaka",0,1,Student (Local)
Female,33,Mbbs,Rajshahi medical college ,Rajshahi medical college,Public University (General),MBBS,Public health,Bangladesh ,None,None,Student (Local)
Male,21,"1st year ,2nd Semester ",Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,24,Forth year ,Primeasia University ,Primeasia University,Private University,HSC,Microbiology,Bangladesh ,600,200,Student (Local)
Male,24,Master's ,Primeasia University ,Primeasia University,Private University,Masters/MS,Microbiology,Bangladesh,1,0,Student (Local)
Female,23,Forth year,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,No publication,No publication ,Student (Local)
Male,37,Postdoc,Washington State University ,Washington State University,Abroad University,PhD,"Microbiology, Biotechnology/Genetic Engineering",United States ,0,16,Researcher (Local/abroad)
Male,37,Masters,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,1,0,Service (Local/abroad)
Female,21, bachelor (Third year),North South University ,North South University,Private University,HSC,"Microbiology, Biochemistry, Botany, Zoology",Bangladesh ,No one ,No one,Student (Local)
Male,24,Bachelor ( Fourth year),Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,23,Bachelor forth year ,North South University,North South University,Private University,HSC,Microbiology,Bangladesh,No,No,Student (Local)
Female,40,Senior Lecturer,Independent University Bangladesh,Independent University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,3,1,Teacher (Local)
Female,26,Master's,Stamford University,Stamford University Bangladesh,Private University,Masters/MS,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology",Denmark,01,02,Student (Local)
Female,27,Lecturer,Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,0,0,Teacher (Local)
Female,23y,"4th year ,Department of Microbiology",Stamford University bangladesh,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh,no publications yet,no publications yet,Student (Local)
Male,34,Masters,University of Dhaka,Dhaka University,Public University (General),PhD,Microbiology,USA,1,30,Researcher (Local/abroad)
Female,24,Masters,Stamford university Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladesh,Not yet,Not yet,Student (Local)
Female,29,Lecturer ,Independent University Bangladesh,Independent University Bangladesh,Private University,Masters/MS,"Biochemistry, Immunology, Public health",Bangladesh,O,1,Researcher (Local/abroad)
Male,33,Assistant professor,Independent University Bangladesh ,Independent University Bangladesh,Private University,PhD,"Biochemistry, Biotechnology/Genetic Engineering, Pharmacy",Bangladesh ,O,8,Teacher (Local)
Female,23,Master's ,Primeasia University Dhaka ,Primeasia University,Private University,Bachelor,Microbiology,Bangladesh ,NA,NA,Student (Local)
Male,23,Third year,Bangabandhu sheikh mujibur Rahman science and technology university,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Biotechnology/Genetic Engineering,Bangladesh,Non,Non,Student (Local)
Female,29,Scientific Officer ,National Institute of Biotechnology ,National Institute of Biotechnology,Research Organization,Masters/MS,Microbiology,Bangladesh ,NA,NA,Researcher (Local/abroad)
