Age,Gender,Union,M_Status,Education,Reason of unemployment,Desiered Profession,Previous Training,Willing for desired profession,Finincial Capability,Source of fund/no,Govt Seaftynet,EBEK,EBEK-Service
18,f,Garidaho,Unmarried,Class 21,Financial Problem,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 22,Financial Problem,Driver,No,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,Class 23,Financial Problem,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 29,Lack of Skills,Driver,No,No,Yes,,No,No,
19,f,Garidaho,Unmarried,Class 30,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 31,Lack of Skills,Driver,No,No,Yes,,No,No,
18,f,Garidaho,Unmarried,Class 32,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 36,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Class 37,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Class 38,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 39,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,Class 40,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 46,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,Class 47,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,Class 48,Others,RSS Fish Farming,No,Yes,Yes,,No,No,
30,f,Garidaho,Divorcy,Class 49,Financial Problem,Tailoring,No,Yes,Yes,,No,No,
26,f,Garidaho,Divorcy,Class 52,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
26,f,Garidaho,Divorcy,Class 53,Lack of Referance Person,Tailoring,No,Yes,Yes,,No,No,
34,m,Garidaho,Widow,Class 56,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
28,f,Garidaho,Married,Class 63,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
24,m,Garidaho,Married,Class 64,Lack of Referance Person,Electrician,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,Class 65,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,Yes,???? ?????
30,m,Garidaho,Married,Class 71,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,Yes,??- ?????/- ??? ? ??
35,f,Garidaho,Married,Class 73,Others,Veterinary Doctor,No,Yes,Yes,,No,Yes,Self
32,f,Garidaho,Married,Class 76,Lack of Employment,Driver,No,Yes,Yes,,No,No,
25,m,Garidaho,Married,Class 79,Lack of Skills,Driver,No,Yes,Yes,,No,No,
26,m,Garidaho,Married,Class 83,Favourable Profession Selection Problem,Driver,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,Class 86,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
26,f,Garidaho,Married,Class 87,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,Class 88,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,f,Garidaho,Married,Class 89,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
30,f,Garidaho,Married,Class 90,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,f,Garidaho,Married,Class 91,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
24,m,Garidaho,Married,Class 92,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,m,Garidaho,Married,Class 93,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
28,m,Garidaho,Married,Class 96,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
24,m,Garidaho,Married,Class 97,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,f,Garidaho,Married,Class 98,Lack of Skills,Tailoring,No,Yes,Yes,,No,Yes,?????
18,m,Garidaho,Married,Class 100,Lack of Skills,Tailoring,No,Yes,Yes,,No,Yes,Loan
32,f,Garidaho,Married,Class 101,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,Class 104,Lack of Skills,Pump Mechanic,No,Yes,Yes,,No,No,
33,f,Garidaho,Married,Class 109,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,Class 111,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
36,m,Garidaho,Married,Class 113,Lack of Referance Person,Animal Husbandry,No,Yes,Yes,,No,No,
28,m,Garidaho,Married,Class 114,Others,Plumber,No,Yes,Yes,,No,No,
28,f,Garidaho,Married,Class 116,Lack of Skills,Butik-Embroidery,No,Yes,Yes,,No,No,
33,f,Garidaho,Married,Class 117,Lack of Employment,Mens Parlour/Beautu Parlour,No,Yes,Yes,,No,No,
25,m,Garidaho,Married,Class 118,Lack of Skills,Mens Parlour/Beautu Parlour,No,Yes,Yes,,No,No,
19,m,Garidaho,Married,Class 119,Lack of Skills,Mens Parlour/Beautu Parlour,No,Yes,Yes,,No,No,
32,f,Garidaho,Married,Class 121,Lack of Skills,Handicrafts,No,No,Yes,,No,No,
33,m,Garidaho,Married,Class 122,Lack of Skills,Handicrafts,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,Class 124,Lack of Referance Person,Chicken-Duck Farming,No,Yes,Yes,,No,No,
19,m,Garidaho,Husband abandoned,Class 125,Lack of Skills,Hospitility Management,No,Yes,Yes,,No,No,
29,f,Garidaho,Husband abandoned,Class 126,Lack of Referance Person,Hospitility Management,No,Yes,Yes,,No,No,
30,m,Garidaho,Husband abandoned,Class 127,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
28,m,Garidaho,Husband abandoned,Class 128,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Below Class 9,Financial Problem,Driver,No,Yes,Yes,,Yes,No,
28,m,Garidaho,Unmarried,Below Class 11,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,Below Class 13,Lack of Skills,Hospitility Management,No,Yes,Yes,,Yes,No,
29,m,Garidaho,Married,Below Class 14,Lack of Skills,Hospitility Management,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,Below Class 15,Lack of Skills,Hospitility Management,No,Yes,Yes,,No,No,
23,m,Garidaho,Married,Below Class 17,Lack of Skills,Driver,No,Yes,Yes,,No,No,
28,f,Garidaho,Married,Below Class 18,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,Below Class 20,Lack of Skills,Tailoring,No,Yes,Yes,,Yes,No,
30,m,Garidaho,Married,Below Class 21,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
30,f,Garidaho,Married,Below Class 22,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
35,m,Garidaho,Married,Below Class 23,Lack of Skills,Butik-Embroidery,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Alim,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,Alim,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,No,Yes,,No,No,
18,m,Garidaho,Unmarried,Alim,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Alim,Lack of Employment,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Alim,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,Alim,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,Alim,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
21,m,Garidaho,Unmarried,Alim,Financial Problem,Animal Husbandry,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Alim,Lack of Skills,Chicken-Duck Farming,No,Yes,Yes,,No,No,
22,m,Garidaho,Married,Alim,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,No,
23,m,Garidaho,Married,Alim,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,No,
33,f,Garidaho,Married,Alim,Lack of Skills,Veterinary Doctor,No,Yes,Yes,,No,No,
20,f,Garidaho,Married,Alim,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
35,m,Garidaho,Married,Alim,Lack of Employment,Pump Mechanic,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Referance Person,Others,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,HSC,Lack of Referance Person,Others,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,Yes,,Yes,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
22,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
30,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
30,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
22,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
20,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,Yes,?? -?????/-
19,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
25,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,Yes,???? ?????
18,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,Yes,Nothing
18,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,Yes,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
22,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,Yes,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Referance Person,ICT Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,Yes,Loan
20,m,Garidaho,Unmarried,HSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,Outsourcing,No,Yes,Yes,,No,Yes,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
26,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,Yes,Yes,Yes,,No,No,
33,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,No,Yes,Yes,,No,Yes,Nothing
21,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Employment,Veterinary Doctor,Yes,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Financial Problem,Driver,No,Yes,Yes,,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,????? ?????
21,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,Yes,????? ?????
22,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
25,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
26,f,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Employment,Pump Mechanic,No,Yes,Yes,,No,No,
28,m,Garidaho,Unmarried,HSC,Lack of Skills,Mobile Servicing Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Divorcy,HSC,Lack of Skills,Tailoring,No,Yes,Yes,,No,Yes,???? ?????
21,m,Garidaho,Separated,HSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
25,m,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,f,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
23,f,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
28,f,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
20,f,Garidaho,Married,HSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
25,f,Garidaho,Married,HSC,Lack of Referance Person,ICT Technician,No,Yes,Yes,,No,No,
30,m,Garidaho,Married,HSC,Lack of Skills,AI,Yes,Yes,Yes,,No,No,
31,f,Garidaho,Married,HSC,Favourable Profession Selection Problem,Beef Fatenning,No,Yes,Yes,,No,Yes,Only Savings
34,m,Garidaho,Married,HSC,Lack of Skills,Veterinary Doctor,No,Yes,Yes,,No,No,
20,m,Garidaho,Married,HSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
28,m,Garidaho,Married,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
20,m,Garidaho,Married,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
21,m,Garidaho,Married,HSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Married,HSC,Lack of Referance Person,Driver,No,Yes,Yes,,No,No,
32,f,Garidaho,Married,HSC,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
29,f,Garidaho,Married,HSC,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
25,m,Garidaho,Married,HSC,Lack of Skills,Animal Husbandry,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Financial Problem,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,SSC,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Financial Problem,Outsourcing,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,SSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,SSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Outsourcing,No,Yes,Yes,,No,Yes,Loan
18,m,Garidaho,Unmarried,SSC,Favourable Profession Selection Problem,Outsourcing,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,SSC,Lack of Skills,Hospitility Management,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,Yes,,No,,
20,m,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,No,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Favourable Profession Selection Problem,Beef Fatenning,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
20,f,Garidaho,Unmarried,SSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
22,f,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,f,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,Yes,??
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
17,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
32,f,Garidaho,Married,SSC,Lack of Skills,Others,No,Yes,Yes,,No,No,
19,m,Garidaho,Married,SSC,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
22,m,Garidaho,Married,SSC,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
24,m,Garidaho,Married,SSC,Lack of Employment,Driver,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
32,m,Garidaho,Married,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
33,m,Garidaho,Married,SSC,Lack of Skills,Driver,No,Yes,Yes,,No,No,
24,f,Garidaho,Married,SSC,Favourable Profession Selection Problem,Driver,No,Yes,Yes,,No,No,
42,m,Garidaho,Married,SSC,Lack of Referance Person,Driver,No,No,Yes,,No,No,
20,m,Garidaho,Married,SSC,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
19,m,Garidaho,Married,SSC,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
25,f,Garidaho,Married,SSC,Family Obstacles,Tailoring,No,Yes,Yes,,No,No,
20,m,Garidaho,Married,SSC,Lack of Referance Person,Tailoring,No,Yes,Yes,,No,No,
32,m,Garidaho,Married,SSC,Lack of Referance Person,Baby Care,No,Yes,Yes,,No,No,
29,m,Garidaho,Divorcy,Kamil,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
28,m,Garidaho,Married,Kamil,Lack of Skills,ICT Technician,Yes,Yes,Yes,,No,No,
25,m,Garidaho,Married,Kamil,Lack of Referance Person,ICT Technician,Yes,Yes,Yes,,No,Yes,"????? ,??? ???????"
27,m,Garidaho,Married,Kamil,Lack of Skills,Tailoring,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,Technical,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
20,m,Garidaho,Unmarried,Technical,Lack of Employment,Electrician,No,Yes,Yes,,No,Yes,Loan
19,m,Garidaho,Unmarried,Dakhil,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
17,f,Garidaho,Unmarried,Dakhil,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Driver,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Employment,Tailoring,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Tailoring,No,Yes,Yes,,Yes,No,??????
33,m,Garidaho,Married,Dakhil,Lack of Skills,Driver,No,Yes,Yes,,No,No,
22,f,Garidaho,Married,Fazil,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,No,
25,m,Garidaho,Unmarried,Honours,Others,ICT Technician,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
21,f,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,Yes,,No,Yes,"Loan,sanchoy"
27,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
25,m,Garidaho,Unmarried,Honours,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
27,m,Garidaho,Unmarried,Honours,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
27,f,Garidaho,Unmarried,Honours,Lack of Employment,Veterinary Doctor,No,Yes,Yes,,No,No,
25,m,Garidaho,Unmarried,Honours,Lack of Employment,Driver,No,Yes,Yes,,No,No,
32,m,Garidaho,Married,Honours,Financial Problem,ICT Technician,No,Yes,Yes,,No,No,
29,m,Garidaho,Married,Honours,Lack of Employment,ICT Technician,Yes,Yes,Yes,,Yes,No,
29,m,Garidaho,Married,Honours,Lack of Employment,ICT Technician,Yes,Yes,Yes,,Yes,No,
21,m,Garidaho,Married,Honours,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
26,m,Garidaho,Married,Honours,Lack of Referance Person,ICT Technician,No,Yes,Yes,,No,No,
34,m,Garidaho,Married,Honours,Lack of Skills,Veterinary Doctor,No,Yes,Yes,,No,No,
23,f,Garidaho,Married,Honours,Lack of Skills,Driver,No,Yes,Yes,,No,No,
27,m,Garidaho,Unmarried,Masters,Lack of Referance Person,Auto-machine operator,No,No,Yes,,No,No,
26,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
27,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,No,Yes,Yes,,No,No,
26,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,Yes,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,Yes,Yes,Yes,,No,No,
25,m,Garidaho,Unmarried,Masters,Lack of Employment,Outsourcing,No,Yes,Yes,,No,No,
31,f,Garidaho,Unmarried,Masters,Lack of Referance Person,Hospitility Management,No,Yes,Yes,,No,No,
23,m,Garidaho,Unmarried,Masters,Lack of Skills,Tissue Culture Technician,No,Yes,Yes,,No,No,
32,m,Garidaho,Unmarried,Masters,Favourable Profession Selection Problem,Driver,No,Yes,Yes,,No,No,
29,m,Garidaho,Married,Masters,Lack of Employment,ICT Technician,Yes,Yes,Yes,,No,No,
28,m,Garidaho,Married,Masters,Lack of Referance Person,Hospitility Management,No,Yes,Yes,,No,No,
35,m,Garidaho,Married,Masters,Lack of Employment,Beef Fatenning,No,Yes,Yes,,No,No,
30,f,Garidaho,Married,Masters,Lack of Employment,Chicken-Duck Farming,Yes,Yes,Yes,,No,No,
35,m,Bishalpur,Married,Class 72,Lack of Skills,Beef Fatenning,No,Yes,No,Bank,No,Yes,?? ?????? ????? ?
32,m,Bishalpur,Married,SSC,Lack of Skills,Veterinary Doctor,Yes,Yes,No,Bank,No,Yes,??? ? ?? ?????? ??????? ?
35,m,Vabanipub,Married,Class 70,Lack of Skills,Beef Fatenning,Yes,Yes,No,Bank,No,Yes,Loan 15000
28,m,Vabanipub,Married,Class 77,Lack of Employment,Driver,Yes,Yes,No,Bank,No,Yes,Receive Loan
28,f,Vabanipub,Married,Class 80,Lack of Skills,Driver,No,Yes,Yes,,No,Yes,Loan
26,f,Mirjapur,Married,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,No,Yes,Loan
30,f,Mirjapur,Married,SSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,No,Yes,
35,f,Mirjapur,Married,Class 105,Financial Problem,Animal Husbandry,No,Yes,Yes,,Yes,Yes,Loan
22,m,Shahbandegi,Married,Class 99,Lack of Skills,Tailoring,No,Yes,Yes,,No,Yes,?????
23,m,Shahbandegi,Married,Honours,Lack of Employment,Outsourcing,No,Yes,Yes,,No,Yes,??
28,f,Sherpur Pouroshava,Unmarried,Masters,Lack of Employment,RSS Fish Farming,No,Yes,No,Others,No,No,
